timestamp,home126_livingroom1182_sensor5712_room_temperature,home126_bedroom1186_sensor5740_room_temperature,home126_outside1187_sensor5743_gas-pulse_gas,home126_bedroom1186_sensor5738_room_light,home126_hall1183_sensor5724_room_humidity,home126_hall1183_sensor5752_tempprobe_central-heating-flow,home126_bedroom1186_sensor5739_room_humidity,home126_hall1183_sensor5759_tempprobe_hot-water-hot-pipe,home126_livingroom1182_sensor5711_room_humidity,home126_bathroom1185_sensor5735_room_temperature,home126_hall1183_sensor5758_tempprobe_hot-water-cold-pipe,home126_bathroom1185_sensor5733_room_light,home126_hall1183_sensor5751_tempprobe_central-heating-return,home126_kitchen1184_sensor5729_room_humidity,home126_livingroom1182_sensor5710_room_light,home126_hall1183_sensor5725_room_temperature,home126_kitchen1184_sensor5730_room_temperature,home126_bathroom1185_sensor5734_room_humidity,home126_hall1183_sensor5718c5722_electric-mains_electric-combined,home126_kitchen1184_sensor5728_room_light,home126_hall1183_sensor5723_room_light
2017-06-15 07:00:00,198.0,,,,686.0,,,,675.0,,,,,738.0,37.0,205.0,200.0,,220.0,62.0,34.0
2017-06-15 08:00:00,203.0,197.0,2844.0,7.0,665.0,528.0,659.0,409.0,660.0,198.0,290.0,100.0,511.0,669.0,47.0,204.0,206.0,689.0,273.0,77.0,230.0
2017-06-15 09:00:00,213.0,202.0,,4.0,648.0,364.0,619.0,324.0,630.0,200.0,262.0,82.0,352.0,649.0,24.0,206.0,211.0,660.0,438.0,87.0,100.0
2017-06-15 10:00:00,218.0,204.0,,9.0,631.0,284.0,610.0,261.0,597.0,201.0,239.0,118.0,273.0,619.0,28.0,207.0,213.0,642.0,285.0,109.0,58.0
2017-06-15 11:00:00,219.0,206.0,,17.0,608.0,252.0,585.0,233.0,569.0,203.0,226.0,159.0,242.0,594.0,44.0,209.0,213.0,615.0,261.0,152.0,73.0
2017-06-15 12:00:00,218.0,207.0,,12.0,591.0,235.0,574.0,219.0,552.0,204.0,218.0,131.0,228.0,584.0,34.0,209.0,213.0,595.0,251.0,133.0,65.0
2017-06-15 13:00:00,217.0,207.0,,19.0,582.0,225.0,564.0,211.0,548.0,204.0,213.0,177.0,220.0,577.0,44.0,209.0,213.0,586.0,300.0,187.0,85.0
2017-06-15 14:00:00,216.0,208.0,,4.0,575.0,219.0,555.0,208.0,542.0,205.0,210.0,76.0,215.0,570.0,17.0,209.0,214.0,577.0,261.0,82.0,40.0
2017-06-15 15:00:00,215.0,208.0,1896.0,1.0,574.0,339.0,556.0,330.0,543.0,204.0,228.0,41.0,339.0,558.0,8.0,208.0,214.0,575.0,265.0,44.0,20.0
2017-06-15 16:00:00,223.0,219.0,948.0,2.0,581.0,529.0,545.0,526.0,541.0,212.0,305.0,52.0,535.0,521.0,13.0,214.0,230.0,579.0,267.0,58.0,30.0
2017-06-15 17:00:00,230.0,223.0,948.0,3.0,580.0,451.0,543.0,452.0,534.0,216.0,293.0,72.0,449.0,526.0,19.0,220.0,232.0,581.0,255.0,86.0,45.0
2017-06-15 18:00:00,233.0,223.0,1264.0,0.0,569.0,424.0,537.0,420.0,527.0,216.0,282.0,56.0,422.0,529.0,11.0,222.0,230.0,576.0,247.0,73.0,31.0
2017-06-15 19:00:00,235.0,224.0,,0.0,580.0,366.0,542.0,358.0,564.0,216.0,277.0,24.0,362.0,594.0,21.0,224.0,232.0,599.0,659.0,55.0,15.0
2017-06-15 20:00:00,234.0,219.0,,0.0,573.0,294.0,548.0,274.0,543.0,214.0,251.0,8.0,284.0,577.0,17.0,223.0,226.0,593.0,308.0,13.0,4.0
2017-06-15 21:00:00,230.0,214.0,,0.0,563.0,262.0,547.0,242.0,532.0,211.0,236.0,0.0,253.0,573.0,20.0,219.0,222.0,580.0,453.0,9.0,0.0
