timestamp,home245_hall2270_sensor14603_room_humidity,home245_livingroom2268_sensor14590_room_light,home245_hall2281_sensor14693_tempprobe_hot-water-cold-pipe,home245_kitchen2273_sensor14622_room_temperature,home245_bedroom2282_sensor14670_room_temperature,home245_livingroom2268_sensor14697_heater_humidity,home245_bedroom2280_sensor14661_room_temperature,home245_bedroom2282_sensor14668_room_light,home245_hall2281_sensor14694_tempprobe_hot-water-hot-pipe,home245_hall2281_sensor14662_room_light,home245_bathroom2286_sensor14717_room_light,home245_hall2281_sensor14663_room_humidity,home245_hall2281_sensor14686_tempprobe_central-heating-flow,home245_livingroom2268_sensor14591_room_humidity,home245_bathroom2286_sensor14718_room_humidity,home245_hall2281_sensor14685_tempprobe_central-heating-return,home245_kitchen2273_sensor14621_room_humidity,home245_hall2270_sensor14604_room_temperature,home245_livingroom2268_sensor14592_room_temperature,home245_outside2279_sensor14653_gas-pulse_gas,home245_bedroom2280_sensor14660_room_humidity,home245_bathroom2276_sensor14644_room_temperature,home245_hall2281_sensor14664_room_temperature,home245_bathroom2276_sensor14643_room_humidity,home245_bathroom2286_sensor14719_room_temperature,home245_kitchen2273_sensor14620_room_light,home245_bedroom2283_sensor14677_room_temperature,home245_bedroom2283_sensor14673_room_light,home245_kitchen2273_sensor14634c14640_electric-mains_electric-combined,home245_livingroom2268_sensor14696_heater_light,home245_bedroom2282_sensor14669_room_humidity,home245_hall2270_sensor14598_room_light,home245_bedroom2280_sensor14659_room_light,home245_livingroom2268_sensor14698_heater_temperature,home245_bathroom2276_sensor14642_room_light,home245_bedroom2283_sensor14676_room_humidity
2017-11-09 09:00:00,669.0,6.0,,174.0,,,172.0,,,59.0,,664.0,,619.0,,,651.0,171.0,181.0,,675.0,176.0,179.0,698.0,,19.0,,,264.0,,,61.0,16.0,,23.0,
2017-11-09 10:00:00,609.0,16.0,147.0,178.0,175.0,580.0,171.0,25.0,333.0,45.0,,623.0,261.0,573.0,,191.0,621.0,174.0,186.0,112.0,627.0,182.0,177.0,620.0,,41.0,174.0,28.0,207.0,15.0,591.0,181.0,27.0,194.0,31.0,611.0
2017-11-09 11:00:00,583.0,,184.0,186.0,169.0,558.0,171.0,71.0,254.0,50.0,46.0,603.0,492.0,,649.0,353.0,581.0,177.0,,9378.0,606.0,187.0,174.0,593.0,160.0,107.0,174.0,23.0,230.0,21.0,585.0,119.0,49.0,195.0,32.0,567.0
2017-11-09 12:00:00,592.0,,222.0,198.0,178.0,498.0,181.0,110.0,279.0,60.0,,621.0,445.0,,,348.0,561.0,184.0,,,605.0,202.0,181.0,570.0,,118.0,189.0,27.0,133.0,50.0,621.0,56.0,97.0,222.0,42.0,574.0
2017-11-09 13:00:00,595.0,,219.0,198.0,181.0,485.0,184.0,71.0,229.0,60.0,,620.0,516.0,,585.0,388.0,564.0,185.0,,5917.0,606.0,205.0,184.0,552.0,192.0,52.0,194.0,25.0,220.0,26.0,627.0,34.0,181.0,228.0,38.0,578.0
2017-11-09 14:00:00,590.0,,247.0,213.0,188.0,375.0,201.0,81.0,250.0,122.0,48.0,609.0,610.0,,573.0,502.0,543.0,196.0,,9601.0,580.0,221.0,195.0,523.0,208.0,45.0,197.0,21.0,325.0,21.0,625.0,41.0,115.0,286.0,24.0,586.0
2017-11-09 15:00:00,588.0,,249.0,211.0,189.0,390.0,203.0,16.0,247.0,22.0,7.0,600.0,398.0,,546.0,359.0,549.0,197.0,,,575.0,224.0,199.0,510.0,214.0,10.0,193.0,6.0,210.0,10.0,627.0,7.0,33.0,272.0,11.0,603.0
2017-11-09 16:00:00,588.0,,226.0,204.0,187.0,496.0,193.0,0.0,224.0,0.0,0.0,601.0,251.0,,553.0,257.0,548.0,193.0,,,592.0,215.0,196.0,524.0,209.0,0.0,189.0,1.0,199.0,0.0,629.0,0.0,0.0,216.0,1.0,616.0
2017-11-09 17:00:00,590.0,,217.0,200.0,185.0,520.0,188.0,0.0,215.0,0.0,0.0,606.0,235.0,,557.0,232.0,557.0,189.0,,,600.0,208.0,192.0,523.0,204.0,110.0,185.0,0.0,934.0,13.0,633.0,0.0,0.0,210.0,3.0,618.0
2017-11-09 18:00:00,611.0,,212.0,199.0,184.0,323.0,185.0,0.0,211.0,7.0,36.0,734.0,235.0,,851.0,220.0,568.0,188.0,,,649.0,202.0,192.0,526.0,203.0,107.0,185.0,0.0,2416.0,11.0,684.0,12.0,0.0,277.0,0.0,686.0
2017-11-09 19:00:00,624.0,,203.0,198.0,185.0,267.0,185.0,0.0,253.0,5.0,0.0,673.0,229.0,,635.0,215.0,568.0,187.0,,,644.0,199.0,192.0,536.0,198.0,32.0,185.0,0.0,676.0,11.0,672.0,8.0,0.0,243.0,0.0,669.0
2017-11-09 20:00:00,625.0,,204.0,197.0,184.0,294.0,184.0,0.0,238.0,0.0,1.0,643.0,231.0,,648.0,211.0,569.0,188.0,,,637.0,195.0,191.0,541.0,196.0,0.0,185.0,0.0,802.0,12.0,654.0,7.0,0.0,327.0,0.0,658.0
2017-11-09 21:00:00,625.0,,205.0,197.0,181.0,347.0,182.0,0.0,213.0,0.0,0.0,631.0,228.0,,657.0,210.0,570.0,190.0,,,638.0,193.0,195.0,551.0,194.0,0.0,186.0,0.0,213.0,11.0,649.0,0.0,0.0,291.0,2.0,652.0
2017-11-09 22:00:00,606.0,,205.0,195.0,181.0,382.0,181.0,0.0,207.0,0.0,2.0,614.0,224.0,,653.0,210.0,567.0,194.0,,,635.0,192.0,196.0,555.0,193.0,0.0,187.0,0.0,133.0,0.0,656.0,0.0,0.0,269.0,0.0,639.0
2017-11-09 23:00:00,589.0,,205.0,192.0,182.0,396.0,181.0,0.0,205.0,0.0,0.0,603.0,226.0,,640.0,210.0,560.0,196.0,,,628.0,191.0,195.0,558.0,191.0,0.0,187.0,0.0,146.0,0.0,658.0,0.0,0.0,258.0,0.0,627.0
