timestamp,home334_livingroom3012_sensor21724_room_light,home334_bedroom3018_sensor21764_room_temperature,home334_kitchen3020_sensor21772_room_humidity,home334_bedroom3018_sensor21763_room_humidity,home334_utility3014_sensor21735_room_humidity,home334_bedroom3018_sensor21776_room_light,home334_hall3013_sensor21733_room_light,home334_bedroom3016_sensor21739_room_light,home334_bathroom3019_sensor21755_room_temperature,home334_bedroom3016_sensor21740_room_humidity,home334_bedroom3016_sensor21741_room_temperature,home334_livingroom3012_sensor21726_room_temperature,home334_kitchen3020_sensor21773_room_temperature,home334_bathroom3019_sensor21754_room_humidity,home334_hall3013_sensor21730_room_temperature,home334_bedroom3017_sensor21849_room_light,home334_kitchen3020_sensor21799_tempprobe_hot-water-hot-pipe,home334_hall3013_sensor21729_room_humidity,home334_kitchen3020_sensor21795_tempprobe_central-heating-return,home334_livingroom3012_sensor21725_room_humidity,home334_bedroom3017_sensor21743_room_temperature,home334_hall3013_sensor21787c21791_electric-mains_electric-combined,home334_utility3014_sensor21736_room_temperature,home334_kitchen3020_sensor21796_tempprobe_central-heating-flow,home334_bedroom3017_sensor21742_room_humidity,home334_bathroom3019_sensor21753_room_light,home334_kitchen3020_sensor21771_room_light,home334_utility3014_sensor21734_room_light,home334_hall3013_sensor21778_gas-pulse_gas,home334_kitchen3020_sensor21798_tempprobe_hot-water-cold-pipe
2018-04-30 07:00:00,90,162.0,,667.0,635,,26.0,11.0,139.0,690.0,155.0,174,,734.0,159.0,,,670.0,,627,151,,133,,746,49.0,,109,,
2018-04-30 08:00:00,30,187.0,540.0,557.0,542,57.0,29.0,15.0,174.0,591.0,173.0,195,185.0,506.0,184.0,,200.0,540.0,244.0,511,177,516.0,150,285.0,578,54.0,66.0,158,,205.0
2018-04-30 09:00:00,33,186.0,463.0,524.0,522,69.0,30.0,19.0,179.0,560.0,179.0,194,195.0,415.0,189.0,6.0,350.0,485.0,220.0,486,189,474.0,157,352.0,515,98.0,129.0,170,,205.0
2018-04-30 10:00:00,48,184.0,406.0,490.0,502,166.0,37.0,25.0,180.0,540.0,178.0,189,188.0,400.0,188.0,0.0,234.0,441.0,258.0,468,191,544.0,159,336.0,462,394.0,510.0,273,,204.0
2018-04-30 11:00:00,49,187.0,425.0,443.0,497,365.0,22.0,26.0,183.0,510.0,179.0,192,188.0,396.0,188.0,0.0,295.0,441.0,378.0,438,191,372.0,161,371.0,453,536.0,432.0,318,,227.0
2018-04-30 12:00:00,37,189.0,431.0,420.0,489,357.0,16.0,26.0,186.0,492.0,179.0,191,190.0,401.0,188.0,0.0,217.0,428.0,252.0,436,191,350.0,162,309.0,447,508.0,220.0,327,,211.0
2018-04-30 13:00:00,35,191.0,415.0,411.0,489,317.0,13.0,23.0,188.0,479.0,180.0,196,194.0,384.0,189.0,0.0,227.0,434.0,469.0,439,191,400.0,163,520.0,452,406.0,215.0,284,,232.0
2018-04-30 14:00:00,58,197.0,397.0,408.0,484,213.0,13.0,23.0,189.0,477.0,187.0,209,203.0,415.0,195.0,0.0,252.0,434.0,479.0,415,193,520.0,163,496.0,450,332.0,254.0,256,,248.0
2018-04-30 15:00:00,43,195.0,427.0,421.0,482,205.0,10.0,16.0,192.0,482.0,188.0,208,208.0,434.0,197.0,0.0,306.0,452.0,385.0,426,194,1497.0,163,405.0,447,159.0,224.0,193,,234.0
2018-04-30 16:00:00,29,195.0,469.0,470.0,499,55.0,3.0,10.0,194.0,513.0,192.0,213,218.0,496.0,202.0,1.0,304.0,494.0,514.0,441,196,1087.0,164,550.0,503,37.0,43.0,121,,251.0
2018-04-30 17:00:00,21,194.0,425.0,454.0,501,11.0,10.0,6.0,194.0,496.0,193.0,215,213.0,500.0,202.0,0.0,314.0,456.0,347.0,426,195,742.0,165,425.0,494,28.0,19.0,71,,235.0
2018-04-30 18:00:00,12,191.0,478.0,494.0,503,3.0,24.0,4.0,198.0,526.0,190.0,207,207.0,698.0,199.0,0.0,332.0,520.0,250.0,456,195,819.0,164,333.0,496,17.0,11.0,67,,217.0
2018-04-30 19:00:00,11,190.0,503.0,535.0,514,0.0,21.0,5.0,197.0,552.0,188.0,202,207.0,681.0,198.0,0.0,390.0,531.0,241.0,487,195,809.0,164,311.0,515,14.0,27.0,8,,214.0
2018-04-30 20:00:00,28,189.0,496.0,567.0,521,1.0,2.0,0.0,198.0,583.0,187.0,201,207.0,730.0,198.0,4.0,324.0,545.0,345.0,529,196,1305.0,164,372.0,543,2.0,6.0,0,,223.0
2018-04-30 21:00:00,17,189.0,472.0,560.0,516,0.0,0.0,0.0,198.0,592.0,189.0,213,209.0,599.0,199.0,0.0,253.0,523.0,410.0,519,197,404.0,164,412.0,572,0.0,0.0,0,,241.0
2018-04-30 22:00:00,2,187.0,469.0,564.0,510,0.0,0.0,0.0,197.0,620.0,187.0,210,207.0,554.0,198.0,0.0,239.0,505.0,269.0,506,197,291.0,163,292.0,607,4.0,0.0,0,,216.0
2018-04-30 23:00:00,0,186.0,482.0,581.0,499,0.0,0.0,0.0,195.0,626.0,184.0,203,204.0,524.0,197.0,0.0,215.0,495.0,228.0,495,198,312.0,162,250.0,603,0.0,0.0,0,,208.0
2018-05-01 00:00:00,0,185.0,485.0,594.0,492,0.0,0.0,0.0,195.0,631.0,181.0,197,201.0,499.0,195.0,0.0,204.0,485.0,213.0,491,198,310.0,162,226.0,585,0.0,0.0,0,,203.0
