date,locationid,maxtemp,mintemp
2016-08-10,Edinburgh,13.0,12.0
2016-08-11,Edinburgh,17.0,14.0
2016-08-12,Edinburgh,17.0,12.0
2016-08-13,Edinburgh,16.0,11.0
2016-08-14,Edinburgh,17.0,9.0
2016-08-15,Edinburgh,19.0,11.0
2016-08-16,Edinburgh,21.0,10.0
2016-08-17,Edinburgh,20.0,11.0
2016-08-18,Edinburgh,20.0,11.0
2016-08-19,Edinburgh,16.0,12.0
2016-08-20,Edinburgh,17.0,11.0
2016-08-21,Edinburgh,18.0,13.0
2016-08-22,Edinburgh,20.0,10.0
2016-08-23,Edinburgh,17.0,11.0
2016-08-24,Edinburgh,21.0,10.0
2016-08-25,Edinburgh,14.0,12.0
2016-08-26,Edinburgh,18.0,11.0
2016-08-27,Edinburgh,18.0,12.0
2016-08-28,Edinburgh,19.0,11.0
2016-08-29,Edinburgh,18.0,14.0
2016-08-30,Edinburgh,21.0,14.0
2016-08-31,Edinburgh,16.0,11.0
2016-09-01,Edinburgh,17.0,12.0
2016-09-02,Edinburgh,18.0,11.0
2016-09-03,Edinburgh,17.0,11.0
2016-09-04,Edinburgh,21.0,12.0
2016-09-05,Edinburgh,21.0,16.0
2016-09-06,Edinburgh,22.0,14.0
2016-09-07,Edinburgh,22.0,16.0
2016-09-08,Edinburgh,19.0,12.0
2016-09-09,Edinburgh,17.0,9.0
2016-09-10,Edinburgh,17.0,9.0
2016-09-11,Edinburgh,17.0,13.0
2016-09-12,Edinburgh,21.0,17.0
2016-09-13,Edinburgh,21.0,12.0
2016-09-14,Edinburgh,14.0,13.0
2016-09-15,Edinburgh,18.0,12.0
2016-09-16,Edinburgh,17.0,9.0
2016-09-17,Edinburgh,17.0,11.0
2016-09-18,Edinburgh,18.0,10.0
2016-09-19,Edinburgh,16.0,7.0
2016-09-20,Edinburgh,16.0,8.0
2016-09-21,Edinburgh,16.0,11.0
2016-09-22,Edinburgh,14.0,8.0
2016-09-23,Edinburgh,15.0,13.0
2016-09-24,Edinburgh,18.0,13.0
2016-09-25,Edinburgh,16.0,8.0
2016-09-26,Edinburgh,12.0,8.0
2016-09-27,Edinburgh,17.0,12.0
2016-09-28,Edinburgh,18.0,11.0
2016-09-29,Edinburgh,15.0,8.0
2016-09-30,Edinburgh,12.0,6.0
2016-10-01,Edinburgh,12.0,5.0
2016-10-02,Edinburgh,12.0,5.0
2016-10-03,Edinburgh,15.0,7.0
2016-10-04,Edinburgh,16.0,8.0
2016-10-05,Edinburgh,15.0,6.0
2016-10-06,Edinburgh,13.0,8.0
2016-10-07,Edinburgh,13.0,6.0
2016-10-08,Edinburgh,13.0,6.0
2016-10-09,Edinburgh,12.0,4.0
2016-10-10,Edinburgh,12.0,8.0
2016-10-11,Edinburgh,12.0,6.0
2016-10-12,Edinburgh,11.0,7.0
2016-10-13,Edinburgh,12.0,7.0
2016-10-14,Edinburgh,12.0,9.0
2016-10-15,Edinburgh,12.0,7.0
2016-10-16,Edinburgh,14.0,9.0
2016-10-17,Edinburgh,13.0,6.0
2016-10-18,Edinburgh,11.0,6.0
2016-10-19,Edinburgh,12.0,6.0
2016-10-20,Edinburgh,12.0,6.0
2016-10-21,Edinburgh,11.0,4.0
2016-10-22,Edinburgh,11.0,5.0
2016-10-23,Edinburgh,10.0,4.0
2016-10-24,Edinburgh,9.0,4.0
2016-10-25,Edinburgh,12.0,8.0
2016-10-26,Edinburgh,13.0,8.0
2016-10-27,Edinburgh,13.0,7.0
2016-10-28,Edinburgh,12.0,8.0
2016-10-29,Edinburgh,13.0,8.0
2016-10-30,Edinburgh,13.0,8.0
2016-10-31,Edinburgh,13.0,3.0
2016-11-01,Edinburgh,9.0,3.0
2016-11-02,Edinburgh,10.0,4.0
2016-11-03,Edinburgh,8.0,3.0
2016-11-04,Edinburgh,8.0,3.0
2016-11-05,Edinburgh,7.0,3.0
2016-11-06,Edinburgh,7.0,2.0
2016-11-07,Edinburgh,6.0,-1.0
2016-11-08,Edinburgh,6.0,2.0
2016-11-09,Edinburgh,4.0,2.0
2016-11-10,Edinburgh,7.0,1.0
2016-11-11,Edinburgh,7.0,7.0
2016-11-12,Edinburgh,11.0,3.0
2016-11-13,Edinburgh,10.0,9.0
2016-11-14,Edinburgh,13.0,11.0
2016-11-15,Edinburgh,13.0,7.0
2016-11-16,Edinburgh,10.0,3.0
2016-11-17,Edinburgh,5.0,1.0
2016-11-18,Edinburgh,5.0,0.0
2016-11-19,Edinburgh,5.0,-1.0
2016-11-20,Edinburgh,1.0,-2.0
2016-11-21,Edinburgh,4.0,3.0
2016-11-22,Edinburgh,6.0,-1.0
2016-11-23,Edinburgh,2.0,-2.0
2016-11-24,Edinburgh,2.0,-2.0
2016-11-25,Edinburgh,3.0,1.0
2016-11-26,Edinburgh,8.0,2.0
2016-11-27,Edinburgh,6.0,1.0
2016-11-28,Edinburgh,6.0,0.0
2016-11-29,Edinburgh,7.0,3.0
