timestamp,home254_outside2347_sensor15294_gas-pulse_gas,home254_utility2346_sensor15289c15291_electric-mains_electric-combined
2017-11-21 13:00:00,0.0,382
2017-11-21 14:00:00,3691.0,460
2017-11-21 15:00:00,6373.0,311
2017-11-21 16:00:00,4803.0,789
2017-11-21 17:00:00,2457.0,1149
2017-11-21 18:00:00,2568.0,1289
2017-11-21 19:00:00,3686.0,1123
2017-11-21 20:00:00,3468.0,1370
2017-11-21 21:00:00,1788.0,1906
2017-11-21 22:00:00,3014.0,598
2017-11-21 23:00:00,335.0,396
2017-11-22 00:00:00,0.0,321
2017-11-22 01:00:00,447.0,273
2017-11-22 02:00:00,0.0,107
2017-11-22 03:00:00,0.0,116
2017-11-22 04:00:00,0.0,93
2017-11-22 05:00:00,0.0,59
2017-11-22 06:00:00,0.0,265
2017-11-22 07:00:00,13174.0,1680
2017-11-22 08:00:00,5136.0,765
2017-11-22 09:00:00,4132.0,415
2017-11-22 10:00:00,3575.0,403
2017-11-22 11:00:00,4024.0,462
2017-11-22 12:00:00,3471.0,480
2017-11-22 13:00:00,4583.0,997
2017-11-22 14:00:00,9173.0,1450
2017-11-22 15:00:00,4361.0,1795
2017-11-22 16:00:00,4247.0,538
2017-11-22 17:00:00,4806.0,410
2017-11-22 18:00:00,5148.0,660
2017-11-22 19:00:00,3577.0,1546
2017-11-22 20:00:00,3133.0,625
2017-11-22 21:00:00,4362.0,509
2017-11-22 22:00:00,1564.0,320
2017-11-22 23:00:00,0.0,115
2017-11-23 00:00:00,0.0,60
2017-11-23 01:00:00,0.0,78
2017-11-23 02:00:00,0.0,117
2017-11-23 03:00:00,0.0,60
2017-11-23 04:00:00,0.0,58
2017-11-23 05:00:00,0.0,108
2017-11-23 06:00:00,12515.0,353
2017-11-23 07:00:00,9500.0,1944
2017-11-23 08:00:00,7711.0,582
2017-11-23 09:00:00,2011.0,1135
2017-11-23 10:00:00,10049.0,553
2017-11-23 11:00:00,5918.0,345
2017-11-23 12:00:00,1117.0,248
2017-11-23 13:00:00,5805.0,189
2017-11-23 14:00:00,7926.0,363
2017-11-23 15:00:00,6586.0,215
2017-11-23 16:00:00,0.0,521
2017-11-23 17:00:00,10829.0,460
2017-11-23 18:00:00,4805.0,1272
2017-11-23 19:00:00,11178.0,687
2017-11-23 20:00:00,8384.0,724
2017-11-23 21:00:00,7493.0,905
2017-11-23 22:00:00,4698.0,470
2017-11-23 23:00:00,0.0,355
2017-11-24 00:00:00,782.0,156
2017-11-24 01:00:00,0.0,158
2017-11-24 02:00:00,0.0,115
2017-11-24 03:00:00,335.0,136
2017-11-24 04:00:00,0.0,160
2017-11-24 05:00:00,0.0,115
2017-11-24 06:00:00,10625.0,423
2017-11-24 07:00:00,11293.0,855
2017-11-24 08:00:00,12747.0,607
2017-11-24 09:00:00,9832.0,567
2017-11-24 10:00:00,0.0,574
2017-11-24 11:00:00,0.0,874
2017-11-24 12:00:00,27687.0,421
2017-11-24 13:00:00,8041.0,396
2017-11-24 14:00:00,12733.0,1928
2017-11-24 15:00:00,7591.0,2226
2017-11-24 16:00:00,7815.0,1087
2017-11-24 17:00:00,7260.0,1470
2017-11-24 18:00:00,6812.0,636
2017-11-24 19:00:00,5136.0,532
2017-11-24 20:00:00,6704.0,526
2017-11-24 21:00:00,9505.0,464
2017-11-24 22:00:00,4920.0,464
2017-11-24 23:00:00,223.0,88
2017-11-25 00:00:00,224.0,77
2017-11-25 01:00:00,0.0,123
2017-11-25 02:00:00,112.0,64
2017-11-25 03:00:00,224.0,62
2017-11-25 04:00:00,112.0,113
2017-11-25 05:00:00,0.0,71
2017-11-25 06:00:00,224.0,62
2017-11-25 07:00:00,9285.0,361
2017-11-25 08:00:00,10965.0,1681
2017-11-25 09:00:00,11637.0,1170
2017-11-25 10:00:00,10509.0,1280
2017-11-25 11:00:00,9941.0,1114
2017-11-25 12:00:00,9601.0,659
2017-11-25 13:00:00,12168.0,3359
2017-11-25 14:00:00,10406.0,224
2017-11-25 15:00:00,11164.0,222
2017-11-25 16:00:00,11620.0,775
2017-11-25 17:00:00,9171.0,1116
2017-11-25 18:00:00,10051.0,1767
2017-11-25 19:00:00,10056.0,1481
2017-11-25 20:00:00,7033.0,402
2017-11-25 21:00:00,0.0,236
2017-11-25 22:00:00,0.0,301
2017-11-25 23:00:00,0.0,95
2017-11-26 00:00:00,0.0,61
2017-11-26 01:00:00,0.0,102
2017-11-26 02:00:00,4689.0,76
2017-11-26 03:00:00,0.0,60
2017-11-26 04:00:00,0.0,106
2017-11-26 05:00:00,0.0,70
2017-11-26 06:00:00,0.0,60
2017-11-26 07:00:00,6253.0,244
2017-11-26 08:00:00,11972.0,1465
2017-11-26 09:00:00,11968.0,500
2017-11-26 10:00:00,11530.0,212
2017-11-26 11:00:00,11416.0,193
2017-11-26 12:00:00,11305.0,316
2017-11-26 13:00:00,11182.0,324
2017-11-26 14:00:00,10275.0,254
2017-11-26 15:00:00,10294.0,170
2017-11-26 16:00:00,9725.0,2298
2017-11-26 17:00:00,9499.0,1088
2017-11-26 18:00:00,8835.0,411
2017-11-26 19:00:00,11746.0,855
2017-11-26 20:00:00,9839.0,1460
2017-11-26 21:00:00,894.0,331
2017-11-26 22:00:00,224.0,125
2017-11-26 23:00:00,0.0,109
2017-11-27 00:00:00,224.0,112
2017-11-27 01:00:00,112.0,65
2017-11-27 02:00:00,0.0,88
2017-11-27 03:00:00,224.0,105
2017-11-27 04:00:00,112.0,65
2017-11-27 05:00:00,0.0,88
2017-11-27 06:00:00,224.0,120
