timestamp,elec,gas,temperature,install_type,location,residents,income_band,study_class,hometype,equivalised_income,occupancy,urban_rural_name,build_era,smart_monitors,smart_automation,occupied_days,occupied_nights,entry_floor,outdoor_space,outdoor_drying
2017-06-13 15:00:00,112.0,876.0,19.863703305156275,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-13 16:00:00,0.0,412.0,20.0,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-13 17:00:00,0.0,203.0,19.863703305156275,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-13 18:00:00,448.0,705.0,19.46410161513776,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-13 19:00:00,0.0,1446.0,18.82842712474619,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-13 20:00:00,447.0,469.0,18.0,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-13 21:00:00,447.0,198.0,17.035276180410087,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-13 22:00:00,0.0,107.0,16.0,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-13 23:00:00,0.0,100.0,14.96472381958992,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-14 00:00:00,0.0,101.0,14.0,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-14 01:00:00,0.0,105.0,13.17157287525381,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-14 02:00:00,0.0,94.0,12.535898384862248,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-14 03:00:00,0.0,106.0,12.136296694843727,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-14 04:00:00,447.0,185.0,12.0,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-14 05:00:00,2351.0,489.0,12.136296694843727,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-14 06:00:00,0.0,97.0,12.535898384862245,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-14 07:00:00,0.0,106.0,13.17157287525381,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-14 08:00:00,0.0,111.0,14.0,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-14 09:00:00,0.0,175.0,14.964723819589915,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-14 10:00:00,448.0,430.0,16.0,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-14 11:00:00,0.0,355.0,17.035276180410083,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-14 12:00:00,0.0,373.0,18.0,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-14 13:00:00,0.0,355.0,18.828427124746188,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-14 14:00:00,0.0,317.0,19.46410161513776,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-14 15:00:00,0.0,153.0,19.863703305156275,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-14 16:00:00,0.0,169.0,20.0,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-14 17:00:00,784.0,232.0,19.863703305156275,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-14 18:00:00,0.0,298.0,19.46410161513776,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-14 19:00:00,0.0,311.0,18.82842712474619,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-14 20:00:00,0.0,289.0,18.0,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-14 21:00:00,224.0,478.0,17.035276180410087,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-14 22:00:00,0.0,293.0,16.0,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-14 23:00:00,0.0,279.0,14.96472381958992,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-15 00:00:00,0.0,116.0,13.5,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-15 01:00:00,0.0,97.0,12.464466094067262,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-15 02:00:00,0.0,108.0,11.669872981077807,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-15 03:00:00,0.0,93.0,11.17037086855466,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-15 04:00:00,0.0,107.0,11.0,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-15 05:00:00,0.0,93.0,11.17037086855466,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-15 06:00:00,0.0,108.0,11.669872981077804,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-15 07:00:00,0.0,93.0,12.464466094067262,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-15 08:00:00,0.0,106.0,13.5,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-15 09:00:00,0.0,92.0,14.705904774487395,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-15 10:00:00,0.0,186.0,16.0,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-15 11:00:00,0.0,177.0,17.294095225512603,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-15 12:00:00,0.0,175.0,18.5,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-15 13:00:00,0.0,200.0,19.535533905932738,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
2017-06-15 14:00:00,0.0,167.0,20.33012701892219,standard,Edinburgh,2,"less than £10,800",treatment,flat,below_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,6,7,2nd,Yes - shared with neighbours,Yes
