timestamp,elec,gas,temperature,install_type,location,residents,income_band,study_class,hometype,equivalised_income,occupancy,urban_rural_name,build_era,smart_monitors,smart_automation,occupied_days,occupied_nights,entry_floor,outdoor_space,outdoor_drying
2017-10-18 07:00:00,418.0,0.0,,standard,WestLothian,3,"£19,800 to £23,399",control,house_or_bungalow,below_median,multiple,Other Urban Areas,1945-1964,Don't own,Don't own,7,7,Ground,Yes - private,Yes
2017-10-18 08:00:00,439.0,948.0,,standard,WestLothian,3,"£19,800 to £23,399",control,house_or_bungalow,below_median,multiple,Other Urban Areas,1945-1964,Don't own,Don't own,7,7,Ground,Yes - private,Yes
2017-10-18 09:00:00,1585.0,1264.0,,standard,WestLothian,3,"£19,800 to £23,399",control,house_or_bungalow,below_median,multiple,Other Urban Areas,1945-1964,Don't own,Don't own,7,7,Ground,Yes - private,Yes
2017-10-18 10:00:00,2059.0,0.0,,standard,WestLothian,3,"£19,800 to £23,399",control,house_or_bungalow,below_median,multiple,Other Urban Areas,1945-1964,Don't own,Don't own,7,7,Ground,Yes - private,Yes
2017-10-18 11:00:00,2046.0,0.0,,standard,WestLothian,3,"£19,800 to £23,399",control,house_or_bungalow,below_median,multiple,Other Urban Areas,1945-1964,Don't own,Don't own,7,7,Ground,Yes - private,Yes
2017-10-18 12:00:00,1373.0,2844.0,,standard,WestLothian,3,"£19,800 to £23,399",control,house_or_bungalow,below_median,multiple,Other Urban Areas,1945-1964,Don't own,Don't own,7,7,Ground,Yes - private,Yes
2017-10-18 13:00:00,1829.0,1264.0,,standard,WestLothian,3,"£19,800 to £23,399",control,house_or_bungalow,below_median,multiple,Other Urban Areas,1945-1964,Don't own,Don't own,7,7,Ground,Yes - private,Yes
2017-10-18 14:00:00,630.0,0.0,,standard,WestLothian,3,"£19,800 to £23,399",control,house_or_bungalow,below_median,multiple,Other Urban Areas,1945-1964,Don't own,Don't own,7,7,Ground,Yes - private,Yes
2017-10-18 15:00:00,908.0,1264.0,,standard,WestLothian,3,"£19,800 to £23,399",control,house_or_bungalow,below_median,multiple,Other Urban Areas,1945-1964,Don't own,Don't own,7,7,Ground,Yes - private,Yes
2017-10-18 16:00:00,1742.0,7584.0,,standard,WestLothian,3,"£19,800 to £23,399",control,house_or_bungalow,below_median,multiple,Other Urban Areas,1945-1964,Don't own,Don't own,7,7,Ground,Yes - private,Yes
2017-10-18 17:00:00,2219.0,6952.0,,standard,WestLothian,3,"£19,800 to £23,399",control,house_or_bungalow,below_median,multiple,Other Urban Areas,1945-1964,Don't own,Don't own,7,7,Ground,Yes - private,Yes
2017-10-18 18:00:00,693.0,6004.0,,standard,WestLothian,3,"£19,800 to £23,399",control,house_or_bungalow,below_median,multiple,Other Urban Areas,1945-1964,Don't own,Don't own,7,7,Ground,Yes - private,Yes
2017-10-18 19:00:00,1668.0,6320.0,,standard,WestLothian,3,"£19,800 to £23,399",control,house_or_bungalow,below_median,multiple,Other Urban Areas,1945-1964,Don't own,Don't own,7,7,Ground,Yes - private,Yes
2017-10-18 20:00:00,246.0,0.0,,standard,WestLothian,3,"£19,800 to £23,399",control,house_or_bungalow,below_median,multiple,Other Urban Areas,1945-1964,Don't own,Don't own,7,7,Ground,Yes - private,Yes
2017-10-18 21:00:00,225.0,0.0,,standard,WestLothian,3,"£19,800 to £23,399",control,house_or_bungalow,below_median,multiple,Other Urban Areas,1945-1964,Don't own,Don't own,7,7,Ground,Yes - private,Yes
2017-10-18 22:00:00,269.0,0.0,,standard,WestLothian,3,"£19,800 to £23,399",control,house_or_bungalow,below_median,multiple,Other Urban Areas,1945-1964,Don't own,Don't own,7,7,Ground,Yes - private,Yes
2017-10-18 23:00:00,232.0,0.0,,standard,WestLothian,3,"£19,800 to £23,399",control,house_or_bungalow,below_median,multiple,Other Urban Areas,1945-1964,Don't own,Don't own,7,7,Ground,Yes - private,Yes
2017-10-19 00:00:00,219.0,0.0,,standard,WestLothian,3,"£19,800 to £23,399",control,house_or_bungalow,below_median,multiple,Other Urban Areas,1945-1964,Don't own,Don't own,7,7,Ground,Yes - private,Yes
2017-10-19 01:00:00,170.0,0.0,,standard,WestLothian,3,"£19,800 to £23,399",control,house_or_bungalow,below_median,multiple,Other Urban Areas,1945-1964,Don't own,Don't own,7,7,Ground,Yes - private,Yes
2017-10-19 02:00:00,84.0,0.0,,standard,WestLothian,3,"£19,800 to £23,399",control,house_or_bungalow,below_median,multiple,Other Urban Areas,1945-1964,Don't own,Don't own,7,7,Ground,Yes - private,Yes
2017-10-19 03:00:00,141.0,0.0,,standard,WestLothian,3,"£19,800 to £23,399",control,house_or_bungalow,below_median,multiple,Other Urban Areas,1945-1964,Don't own,Don't own,7,7,Ground,Yes - private,Yes
2017-10-19 04:00:00,182.0,9164.0,,standard,WestLothian,3,"£19,800 to £23,399",control,house_or_bungalow,below_median,multiple,Other Urban Areas,1945-1964,Don't own,Don't own,7,7,Ground,Yes - private,Yes
2017-10-19 05:00:00,159.0,5372.0,,standard,WestLothian,3,"£19,800 to £23,399",control,house_or_bungalow,below_median,multiple,Other Urban Areas,1945-1964,Don't own,Don't own,7,7,Ground,Yes - private,Yes
2017-10-19 06:00:00,257.0,948.0,,standard,WestLothian,3,"£19,800 to £23,399",control,house_or_bungalow,below_median,multiple,Other Urban Areas,1945-1964,Don't own,Don't own,7,7,Ground,Yes - private,Yes
2017-10-19 07:00:00,494.0,948.0,,standard,WestLothian,3,"£19,800 to £23,399",control,house_or_bungalow,below_median,multiple,Other Urban Areas,1945-1964,Don't own,Don't own,7,7,Ground,Yes - private,Yes
2017-10-19 08:00:00,2785.0,0.0,,standard,WestLothian,3,"£19,800 to £23,399",control,house_or_bungalow,below_median,multiple,Other Urban Areas,1945-1964,Don't own,Don't own,7,7,Ground,Yes - private,Yes
2017-10-19 09:00:00,2607.0,0.0,,standard,WestLothian,3,"£19,800 to £23,399",control,house_or_bungalow,below_median,multiple,Other Urban Areas,1945-1964,Don't own,Don't own,7,7,Ground,Yes - private,Yes
2017-10-19 10:00:00,842.0,1580.0,,standard,WestLothian,3,"£19,800 to £23,399",control,house_or_bungalow,below_median,multiple,Other Urban Areas,1945-1964,Don't own,Don't own,7,7,Ground,Yes - private,Yes
2017-10-19 11:00:00,414.0,0.0,,standard,WestLothian,3,"£19,800 to £23,399",control,house_or_bungalow,below_median,multiple,Other Urban Areas,1945-1964,Don't own,Don't own,7,7,Ground,Yes - private,Yes
2017-10-19 12:00:00,140.0,0.0,,standard,WestLothian,3,"£19,800 to £23,399",control,house_or_bungalow,below_median,multiple,Other Urban Areas,1945-1964,Don't own,Don't own,7,7,Ground,Yes - private,Yes
2017-10-19 13:00:00,88.0,0.0,,standard,WestLothian,3,"£19,800 to £23,399",control,house_or_bungalow,below_median,multiple,Other Urban Areas,1945-1964,Don't own,Don't own,7,7,Ground,Yes - private,Yes
2017-10-19 14:00:00,78.0,0.0,,standard,WestLothian,3,"£19,800 to £23,399",control,house_or_bungalow,below_median,multiple,Other Urban Areas,1945-1964,Don't own,Don't own,7,7,Ground,Yes - private,Yes
2017-10-19 15:00:00,91.0,5056.0,,standard,WestLothian,3,"£19,800 to £23,399",control,house_or_bungalow,below_median,multiple,Other Urban Areas,1945-1964,Don't own,Don't own,7,7,Ground,Yes - private,Yes
2017-10-19 16:00:00,915.0,6320.0,,standard,WestLothian,3,"£19,800 to £23,399",control,house_or_bungalow,below_median,multiple,Other Urban Areas,1945-1964,Don't own,Don't own,7,7,Ground,Yes - private,Yes
2017-10-19 17:00:00,673.0,6004.0,,standard,WestLothian,3,"£19,800 to £23,399",control,house_or_bungalow,below_median,multiple,Other Urban Areas,1945-1964,Don't own,Don't own,7,7,Ground,Yes - private,Yes
