timestamp,home278_bathroom2577_sensor17254_room_humidity,home278_bathroom2577_sensor17255_room_temperature,home278_bathroom2577_sensor17287_room_light,home278_bedroom2578_sensor17258_room_light,home278_bedroom2578_sensor17259_room_humidity,home278_bedroom2578_sensor17260_room_temperature,home278_bedroom2579_sensor17265_room_light,home278_bedroom2579_sensor17266_room_humidity,home278_bedroom2579_sensor17267_room_temperature,home278_hall2569_sensor17187_gas-pulse_gas,home278_hall2569_sensor17200c17282_electric-mains_electric-combined,home278_hall2569_sensor17205_room_light,home278_hall2569_sensor17206_room_humidity,home278_hall2569_sensor17207_room_temperature,home278_kitchen2576_sensor17231_tempprobe_central-heating-return,home278_kitchen2576_sensor17232_tempprobe_central-heating-flow,home278_kitchen2576_sensor17245_tempprobe_hot-water-cold-pipe,home278_kitchen2576_sensor17246_tempprobe_hot-water-hot-pipe,home278_kitchen2576_sensor17249_room_light,home278_kitchen2576_sensor17252_room_humidity,home278_kitchen2576_sensor17253_room_temperature,home278_livingroom2581_sensor17274_room_light,home278_livingroom2581_sensor17277_room_humidity,home278_livingroom2581_sensor17278_room_temperature,home278_study2580_sensor17270_room_humidity,home278_study2580_sensor17271_room_temperature,home278_study2580_sensor17288_room_light
2017-12-19 14:00:00,,,,,,,,,,336.0,382.0,77.0,526.0,178.0,170.0,183.0,,,,,,,,,,,
2017-12-19 15:00:00,582.0,158.0,,0.0,521.0,172.0,2.0,476.0,178.0,3244.0,432.0,77.0,504.0,176.0,289.0,322.0,155.0,301.0,4.0,550.0,165.0,41.0,514.0,180.0,527.0,170.0,
2017-12-19 16:00:00,576.0,159.0,,0.0,519.0,170.0,0.0,467.0,179.0,2462.0,200.0,5.0,479.0,190.0,303.0,328.0,189.0,206.0,0.0,544.0,165.0,6.0,517.0,174.0,524.0,170.0,
2017-12-19 17:00:00,572.0,160.0,,0.0,520.0,171.0,0.0,462.0,181.0,1790.0,157.0,0.0,489.0,181.0,307.0,324.0,193.0,200.0,0.0,542.0,166.0,0.0,523.0,171.0,519.0,171.0,
2017-12-19 18:00:00,570.0,162.0,33.0,3.0,518.0,172.0,0.0,459.0,182.0,3578.0,265.0,10.0,493.0,181.0,314.0,343.0,193.0,207.0,5.0,540.0,167.0,8.0,526.0,171.0,515.0,173.0,7.0
2017-12-19 19:00:00,591.0,170.0,33.0,0.0,535.0,176.0,2.0,469.0,186.0,4031.0,448.0,41.0,512.0,185.0,410.0,441.0,164.0,329.0,23.0,604.0,177.0,30.0,540.0,174.0,513.0,180.0,3.0
2017-12-19 20:00:00,663.0,176.0,6.0,0.0,608.0,180.0,2.0,489.0,190.0,6940.0,354.0,41.0,572.0,191.0,353.0,382.0,192.0,246.0,22.0,695.0,187.0,7.0,561.0,176.0,571.0,183.0,0.0
2017-12-19 21:00:00,614.0,177.0,0.0,0.0,583.0,183.0,2.0,486.0,192.0,8505.0,533.0,41.0,537.0,194.0,353.0,375.0,184.0,237.0,17.0,610.0,185.0,46.0,550.0,194.0,562.0,185.0,0.0
2017-12-19 22:00:00,585.0,178.0,31.0,1.0,550.0,184.0,2.0,475.0,194.0,10071.0,559.0,38.0,511.0,196.0,353.0,388.0,152.0,291.0,6.0,577.0,180.0,43.0,496.0,209.0,545.0,187.0,1.0
2017-12-19 23:00:00,574.0,179.0,7.0,0.0,549.0,187.0,0.0,467.0,196.0,,163.0,0.0,503.0,197.0,291.0,311.0,166.0,297.0,0.0,565.0,179.0,0.0,485.0,206.0,533.0,187.0,0.0
