timestamp,home286_bathroom2648_sensor18062_room_light,home286_bathroom2648_sensor18063_room_humidity,home286_bathroom2648_sensor18064_room_temperature,home286_bedroom2649_sensor18067_room_humidity,home286_bedroom2649_sensor18068_room_temperature,home286_bedroom2649_sensor18101_room_light,home286_kitchen2650_sensor18071_room_humidity,home286_kitchen2650_sensor18072_room_temperature,home286_kitchen2650_sensor18073_room_light,home286_kitchen2650_sensor18076_gas-pulse_gas,home286_livingroom2645_sensor18052_room_light,home286_livingroom2645_sensor18053_room_humidity,home286_livingroom2645_sensor18054_room_temperature,home286_livingroom2645_sensor18093_tempprobe_central-heating-return,home286_livingroom2645_sensor18094_tempprobe_central-heating-flow,home286_livingroom2645_sensor18097_tempprobe_hot-water-cold-pipe,home286_livingroom2645_sensor18098_tempprobe_hot-water-hot-pipe,home286_utility2646_sensor18057_room_light,home286_utility2646_sensor18058_room_humidity,home286_utility2646_sensor18059_room_temperature,home286_utility2646_sensor18084c18088_electric-mains_electric-combined
2018-01-22 12:00:00,,,,,,,,,,,18.0,736.0,146.0,,,,,12.0,752.0,139.0,
2018-01-22 13:00:00,2.0,613.0,168.0,633.0,159.0,,657.0,166.0,34.0,672.0,23.0,596.0,169.0,,,,,21.0,630.0,158.0,706.0
2018-01-22 14:00:00,1.0,569.0,172.0,572.0,171.0,0.0,589.0,174.0,17.0,224.0,18.0,548.0,180.0,220.0,224.0,167.0,286.0,11.0,586.0,165.0,704.0
2018-01-22 15:00:00,0.0,577.0,174.0,570.0,176.0,0.0,583.0,187.0,6.0,4143.0,13.0,551.0,186.0,297.0,354.0,191.0,266.0,3.0,598.0,170.0,1879.0
2018-01-22 16:00:00,0.0,543.0,192.0,533.0,195.0,0.0,504.0,209.0,2.0,5485.0,11.0,501.0,207.0,483.0,563.0,278.0,288.0,0.0,566.0,186.0,510.0
2018-01-22 17:00:00,0.0,522.0,205.0,500.0,208.0,0.0,482.0,217.0,0.0,3918.0,10.0,469.0,220.0,457.0,517.0,279.0,367.0,0.0,536.0,199.0,1260.0
2018-01-22 18:00:00,0.0,514.0,208.0,489.0,212.0,0.0,473.0,220.0,5.0,4478.0,10.0,457.0,224.0,427.0,500.0,252.0,326.0,0.0,519.0,204.0,979.0
2018-01-22 19:00:00,0.0,525.0,209.0,506.0,213.0,0.0,494.0,227.0,3.0,2574.0,17.0,477.0,226.0,404.0,446.0,248.0,302.0,0.0,532.0,208.0,593.0
2018-01-22 20:00:00,23.0,545.0,209.0,501.0,212.0,0.0,470.0,225.0,5.0,112.0,19.0,469.0,225.0,359.0,372.0,208.0,340.0,0.0,523.0,209.0,1517.0
2018-01-22 21:00:00,0.0,536.0,202.0,505.0,205.0,0.0,472.0,217.0,0.0,,19.0,473.0,219.0,284.0,288.0,237.0,268.0,0.0,519.0,204.0,541.0
2018-01-22 22:00:00,0.0,534.0,197.0,508.0,200.0,0.0,478.0,210.0,3.0,224.0,19.0,474.0,213.0,258.0,262.0,183.0,310.0,0.0,519.0,199.0,504.0
2018-01-22 23:00:00,7.0,547.0,194.0,518.0,197.0,0.0,480.0,206.0,3.0,,16.0,483.0,210.0,248.0,250.0,214.0,267.0,0.0,533.0,195.0,312.0
