timestamp,elec,gas,install_type,location,residents,starttime,starttime_enhanced,endtime,cohortid,income_band,study_class,hometype,equivalised_income,occupancy,urban_rural_class,urban_rural_name,build_era,new_build_year,smart_monitors,smart_automation,occupied_days,occupied_nights,entry_floor,outdoor_space,outdoor_drying
2017-12-04 08:00:00,641.0,0.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-04 09:00:00,641.0,0.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-04 10:00:00,331.0,0.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-04 11:00:00,380.0,224.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-04 12:00:00,264.0,4808.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-04 13:00:00,679.0,11062.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-04 14:00:00,730.0,9833.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-04 15:00:00,391.0,8940.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-04 16:00:00,444.0,9055.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-04 17:00:00,1349.0,8828.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-04 18:00:00,1815.0,8380.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-04 19:00:00,1285.0,7374.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-04 20:00:00,583.0,6924.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-04 21:00:00,583.0,336.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-04 22:00:00,477.0,112.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-04 23:00:00,292.0,224.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-05 00:00:00,292.0,0.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-05 01:00:00,285.0,112.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-05 02:00:00,274.0,0.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-05 03:00:00,255.0,223.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-05 04:00:00,253.0,0.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-05 05:00:00,427.0,5705.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-05 06:00:00,1043.0,223.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-05 07:00:00,442.0,112.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-05 08:00:00,415.0,3466.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-05 09:00:00,445.0,11288.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-05 10:00:00,635.0,4360.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-05 11:00:00,405.0,3020.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-05 12:00:00,554.0,0.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-05 13:00:00,382.0,0.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-05 14:00:00,252.0,223.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-05 15:00:00,269.0,112.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-05 16:00:00,312.0,223.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-05 17:00:00,1073.0,10062.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-05 18:00:00,658.0,9498.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-05 19:00:00,581.0,8938.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-05 20:00:00,523.0,8717.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-05 21:00:00,598.0,5810.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-05 22:00:00,400.0,0.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-05 23:00:00,312.0,223.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-06 00:00:00,285.0,0.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-06 01:00:00,282.0,0.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-06 02:00:00,270.0,335.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-06 03:00:00,247.0,0.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-06 04:00:00,245.0,0.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-06 05:00:00,454.0,5033.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-06 06:00:00,319.0,0.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-06 07:00:00,348.0,0.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
