timestamp,elec,gas,temperature,install_type,location,residents,starttime,starttime_enhanced,endtime,cohortid,income_band,study_class,hometype,equivalised_income,occupancy,urban_rural_class,urban_rural_name,build_era,new_build_year,smart_monitors,smart_automation,occupied_days,occupied_nights,entry_floor,outdoor_space,outdoor_drying
2018-03-28 08:00:00,250.0,0.0,5.124934711898065,standard,Edinburgh,4,28/03/2018 07:57,,30/06/2018 22:59,treatment_20180418,"£78,000 to £89,999",treatment,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1996-2001,,Don't own,Don't own,3,7,Ground,Yes - private,Yes
2018-03-28 09:00:00,250.0,1456.0,5.641250416448535,standard,Edinburgh,4,28/03/2018 07:57,,30/06/2018 22:59,treatment_20180418,"£78,000 to £89,999",treatment,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1996-2001,,Don't own,Don't own,3,7,Ground,Yes - private,Yes
2018-03-28 10:00:00,1333.0,2461.0,6.195325416607615,standard,Edinburgh,4,28/03/2018 07:57,,30/06/2018 22:59,treatment_20180418,"£78,000 to £89,999",treatment,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1996-2001,,Don't own,Don't own,3,7,Ground,Yes - private,Yes
2018-03-28 11:00:00,469.0,2573.0,6.749400416766695,standard,Edinburgh,4,28/03/2018 07:57,,30/06/2018 22:59,treatment_20180418,"£78,000 to £89,999",treatment,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1996-2001,,Don't own,Don't own,3,7,Ground,Yes - private,Yes
2018-03-28 12:00:00,819.0,783.0,7.265716121317164,standard,Edinburgh,4,28/03/2018 07:57,,30/06/2018 22:59,treatment_20180418,"£78,000 to £89,999",treatment,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1996-2001,,Don't own,Don't own,3,7,Ground,Yes - private,Yes
2018-03-28 13:00:00,327.0,3693.0,7.709086468245954,standard,Edinburgh,4,28/03/2018 07:57,,30/06/2018 22:59,treatment_20180418,"£78,000 to £89,999",treatment,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1996-2001,,Don't own,Don't own,3,7,Ground,Yes - private,Yes
2018-03-28 14:00:00,508.0,13307.0,8.04929650111401,standard,Edinburgh,4,28/03/2018 07:57,,30/06/2018 22:59,treatment_20180418,"£78,000 to £89,999",treatment,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1996-2001,,Don't own,Don't own,3,7,Ground,Yes - private,Yes
2018-03-28 15:00:00,403.0,3801.0,8.263161468405034,standard,Edinburgh,4,28/03/2018 07:57,,30/06/2018 22:59,treatment_20180418,"£78,000 to £89,999",treatment,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1996-2001,,Don't own,Don't own,3,7,Ground,Yes - private,Yes
2018-03-28 16:00:00,249.0,5482.0,8.336106826026715,standard,Edinburgh,4,28/03/2018 07:57,,30/06/2018 22:59,treatment_20180418,"£78,000 to £89,999",treatment,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1996-2001,,Don't own,Don't own,3,7,Ground,Yes - private,Yes
2018-03-28 17:00:00,271.0,4255.0,8.263161468405034,standard,Edinburgh,4,28/03/2018 07:57,,30/06/2018 22:59,treatment_20180418,"£78,000 to £89,999",treatment,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1996-2001,,Don't own,Don't own,3,7,Ground,Yes - private,Yes
2018-03-28 18:00:00,358.0,8609.0,8.049296501114009,standard,Edinburgh,4,28/03/2018 07:57,,30/06/2018 22:59,treatment_20180418,"£78,000 to £89,999",treatment,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1996-2001,,Don't own,Don't own,3,7,Ground,Yes - private,Yes
2018-03-28 19:00:00,636.0,8833.0,7.709086468245955,standard,Edinburgh,4,28/03/2018 07:57,,30/06/2018 22:59,treatment_20180418,"£78,000 to £89,999",treatment,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1996-2001,,Don't own,Don't own,3,7,Ground,Yes - private,Yes
2018-03-28 20:00:00,953.0,9618.0,7.265716121317165,standard,Edinburgh,4,28/03/2018 07:57,,30/06/2018 22:59,treatment_20180418,"£78,000 to £89,999",treatment,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1996-2001,,Don't own,Don't own,3,7,Ground,Yes - private,Yes
2018-03-28 21:00:00,625.0,1007.0,6.749400416766696,standard,Edinburgh,4,28/03/2018 07:57,,30/06/2018 22:59,treatment_20180418,"£78,000 to £89,999",treatment,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1996-2001,,Don't own,Don't own,3,7,Ground,Yes - private,Yes
2018-03-28 22:00:00,189.0,1005.0,6.195325416607615,standard,Edinburgh,4,28/03/2018 07:57,,30/06/2018 22:59,treatment_20180418,"£78,000 to £89,999",treatment,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1996-2001,,Don't own,Don't own,3,7,Ground,Yes - private,Yes
2018-03-28 23:00:00,330.0,3465.0,5.641250416448536,standard,Edinburgh,4,28/03/2018 07:57,,30/06/2018 22:59,treatment_20180418,"£78,000 to £89,999",treatment,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1996-2001,,Don't own,Don't own,3,7,Ground,Yes - private,Yes
2018-03-29 00:00:00,236.0,6598.0,10.18978421979147,standard,Edinburgh,4,28/03/2018 07:57,,30/06/2018 22:59,treatment_20180418,"£78,000 to £89,999",treatment,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1996-2001,,Don't own,Don't own,3,7,Ground,Yes - private,Yes
2018-03-29 01:00:00,192.0,1901.0,9.828236878282494,standard,Edinburgh,4,28/03/2018 07:57,,30/06/2018 22:59,treatment_20180418,"£78,000 to £89,999",treatment,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1996-2001,,Don't own,Don't own,3,7,Ground,Yes - private,Yes
2018-03-29 03:00:00,199.0,5484.0,9.376415179579052,standard,Edinburgh,4,28/03/2018 07:57,,30/06/2018 22:59,treatment_20180418,"£78,000 to £89,999",treatment,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1996-2001,,Don't own,Don't own,3,7,Ground,Yes - private,Yes
2018-03-29 04:00:00,223.0,7267.0,9.316931724480565,standard,Edinburgh,4,28/03/2018 07:57,,30/06/2018 22:59,treatment_20180418,"£78,000 to £89,999",treatment,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1996-2001,,Don't own,Don't own,3,7,Ground,Yes - private,Yes
