home_number,earliest_timestamp,latest_timestamp,number_of_rows,bathroom_c_electric-mains_electric-combined,bathroom_gas-pulse_gas,bathroom_room_humidity,bathroom_room_light,bathroom_room_temperature,bathroom_tempprobe_bath,bathroom_tempprobe_central-heating-flow,bathroom_tempprobe_central-heating-return,bathroom_tempprobe_hot-water-cold-pipe,bathroom_tempprobe_hot-water-hot-pipe,bathroom_tempprobe_radiator-input,bathroom_tempprobe_radiator-output,bathroom_tempprobe_shower,bathroom_tempprobe_sink,bedroom_c_electric-mains_electric-combined,bedroom_gas-pulse_gas,bedroom_room_humidity,bedroom_room_light,bedroom_room_temperature,bedroom_tempprobe_central-heating-flow,bedroom_tempprobe_central-heating-return,bedroom_tempprobe_hot-water-cold-pipe,bedroom_tempprobe_hot-water-hot-pipe,bedroom_tempprobe_radiator-input,bedroom_tempprobe_radiator-output,conservatory_room_humidity,conservatory_room_light,conservatory_room_temperature,cupboard_c_electric-mains_electric-combined,cupboard_gas-pulse_gas,cupboard_room_humidity,cupboard_room_light,cupboard_room_temperature,cupboard_tempprobe_central-heating-flow,cupboard_tempprobe_central-heating-return,cupboard_tempprobe_hot-water-cold-pipe,cupboard_tempprobe_hot-water-hot-pipe,diningroom_c_electric-mains_electric-combined,diningroom_room_humidity,diningroom_room_light,diningroom_room_temperature,diningroom_tempprobe_central-heating-flow,diningroom_tempprobe_central-heating-return,diningroom_tempprobe_hot-water-cold-pipe,diningroom_tempprobe_hot-water-hot-pipe,diningroom_tempprobe_radiator-input,diningroom_tempprobe_radiator-output,diningroom_tempprobe_sink,hall_c_electric-mains_electric-combined,hall_electric-mains_electric-combined,hall_gas-pulse_gas,hall_room_humidity,hall_room_light,hall_room_temperature,hall_tempprobe_central-heating-flow,hall_tempprobe_central-heating-return,hall_tempprobe_hot-water-cold-pipe,hall_tempprobe_hot-water-hot-pipe,hall_tempprobe_radiator-input,hall_tempprobe_radiator-output,kitchen_c_electric-mains_electric-combined,kitchen_electric-mains_electric-combined,kitchen_gas-pulse_gas,kitchen_heatcook_humidity,kitchen_heatcook_light,kitchen_heatcook_temperature,kitchen_room_humidity,kitchen_room_light,kitchen_room_temperature,kitchen_tempprobe_central-heating-flow,kitchen_tempprobe_central-heating-return,kitchen_tempprobe_hot-water-cold-pipe,kitchen_tempprobe_hot-water-hot-pipe,kitchen_tempprobe_oven,kitchen_tempprobe_radiator-input,kitchen_tempprobe_radiator-output,kitchen_tempprobe_sink,kitchenliving_heatcook_humidity,kitchenliving_heatcook_light,kitchenliving_heatcook_temperature,kitchenliving_room_humidity,kitchenliving_room_light,kitchenliving_room_temperature,kitchenliving_tempprobe_central-heating-flow,kitchenliving_tempprobe_central-heating-return,kitchenliving_tempprobe_hot-water-cold-pipe,kitchenliving_tempprobe_hot-water-hot-pipe,kitchenliving_tempprobe_radiator-input,kitchenliving_tempprobe_radiator-output,kitchenliving_tempprobe_sink,livingroom_c_electric-mains_electric-combined,livingroom_electric-mains_electric-combined,livingroom_gas-pulse_gas,livingroom_heater_humidity,livingroom_heater_light,livingroom_heater_temperature,livingroom_room_humidity,livingroom_room_light,livingroom_room_temperature,livingroom_tempprobe_central-heating-flow,livingroom_tempprobe_central-heating-return,livingroom_tempprobe_hot-water-cold-pipe,livingroom_tempprobe_hot-water-hot-pipe,livingroom_tempprobe_radiator-input,livingroom_tempprobe_radiator-output,other_c_electric-mains_electric-combined,other_gas-pulse_gas,other_room_humidity,other_room_light,other_room_temperature,other_tempprobe_central-heating-flow,other_tempprobe_central-heating-return,other_tempprobe_hot-water-cold-pipe,other_tempprobe_hot-water-hot-pipe,other_tempprobe_radiator-input,other_tempprobe_radiator-output,other_tempprobe_shower,outside_c_electric-mains_electric-combined,outside_electric-mains_electric-combined,outside_gas-pulse_gas,outside_tempprobe_central-heating-flow,outside_tempprobe_central-heating-return,outside_tempprobe_hot-water-cold-pipe,outside_tempprobe_hot-water-hot-pipe,playroom_room_humidity,playroom_room_light,playroom_room_temperature,playroom_tempprobe_radiator-input,playroom_tempprobe_radiator-output,study_c_electric-mains_electric-combined,study_gas-pulse_gas,study_heater_humidity,study_heater_light,study_heater_temperature,study_room_humidity,study_room_light,study_room_temperature,study_tempprobe_central-heating-flow,study_tempprobe_central-heating-return,study_tempprobe_hot-water-cold-pipe,study_tempprobe_hot-water-hot-pipe,study_tempprobe_radiator-input,study_tempprobe_radiator-output,utility_c_electric-mains_electric-combined,utility_gas-pulse_gas,utility_room_humidity,utility_room_light,utility_room_temperature,utility_tempprobe_central-heating-flow,utility_tempprobe_central-heating-return,utility_tempprobe_hot-water-cold-pipe,utility_tempprobe_hot-water-hot-pipe,utility_tempprobe_radiator-input,utility_tempprobe_radiator-output,utility_tempprobe_sink
home100,07/03/2017 14:00,30/06/2018 23:00,11155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22223,22224,22223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9083,11111,11112,11111,0,0,0,0,0,0,0,0,0,0,0,0,11111,11111,11111,10088,10088,8837,8837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11083,0,0,0,0,22208,22206,22208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
home101,09/03/2017 08:00,26/06/2018 13:00,10941,0,0,10734,10740,10734,0,0,0,0,0,0,0,0,0,0,0,21852,21852,21852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10917,0,0,21860,21860,21860,0,0,0,0,0,0,0,0,0,0,0,0,10931,10931,10931,10930,10930,10931,10931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10931,10931,10931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
home102,25/10/2016 14:00,12/06/2018 07:00,10236,0,0,10203,10203,10203,0,0,0,0,0,0,0,0,0,0,0,28308,30603,30610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10198,0,0,10203,10203,10203,0,0,0,0,0,0,0,0,0,0,0,0,7214,7291,7214,10200,10200,10203,10203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10188,10190,10188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
home105,25/04/2017 13:00,23/06/2018 19:00,9893,0,0,9624,9620,9624,9153,0,0,0,0,0,0,0,9190,0,0,19676,19675,19676,0,0,0,0,18573,18573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8709,0,0,9839,9837,9839,0,0,0,0,9255,9255,0,0,1842,9285,9287,9285,9831,9830,9831,9502,9502,9693,9692,8987,0,0,8942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9837,9838,9837,0,0,0,0,476,9282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7549,7567,7549,0,0,0,0,9009,9009,0,0,0,0,0,0,0,0,0,0,0,0
home106,13/04/2017 10:00,14/06/2018 11:00,9903,0,0,9734,9734,9734,9031,0,0,0,0,9014,0,0,9027,0,0,19703,19703,19703,0,0,0,0,17712,17704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9843,0,0,9852,9854,9852,0,0,0,0,9034,9034,0,0,4643,9022,9022,9022,9855,9856,9855,9849,9849,5022,9855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9857,9856,9857,0,0,0,0,9042,9042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
home107,04/04/2017 12:00,26/06/2018 12:00,10402,0,0,20660,20659,20654,0,0,0,0,0,0,0,0,0,0,0,30979,30979,30979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10316,0,0,20649,20647,20649,0,0,0,0,0,0,0,0,0,0,0,0,10327,10324,10327,10317,10317,10325,10325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10327,10331,10327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
home109,13/04/2017 15:00,23/05/2018 09:00,9238,0,0,9203,9204,9203,0,0,0,0,0,0,0,0,0,0,0,27659,27658,27659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18436,18435,18436,0,0,0,0,0,0,9211,0,0,0,0,0,7456,7456,7456,9218,9218,9220,9220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9221,9221,9221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
home110,18/04/2017 08:00,29/06/2018 13:00,10147,0,0,10131,10130,10131,0,0,0,0,0,0,0,0,0,0,0,29948,29924,29948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10117,0,0,20260,20260,20260,0,0,0,0,0,0,0,0,0,0,0,0,10110,10111,10110,10125,10125,10094,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10131,10131,10131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
home113,20/06/2017 10:00,10/04/2018 11:00,6858,0,0,13695,13695,13695,0,0,0,0,0,0,0,0,0,0,0,20514,20509,20514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6847,0,3953,13696,13695,13696,6847,6847,6847,6847,0,0,0,0,0,0,0,0,6298,6319,6298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6839,6841,6839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
home114,13/06/2017 07:00,30/06/2018 23:00,8330,0,0,8306,8309,8306,0,0,0,0,0,0,0,0,0,0,0,8310,8309,8310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8297,0,3570,8309,8310,8309,0,0,0,0,0,0,0,0,0,0,0,0,8309,8310,8309,8306,8306,8309,8309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8310,8310,8310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
