timestamp,home143_bathroom1328_sensor6939_room_light,home143_bathroom1328_sensor6940_room_humidity,home143_bathroom1328_sensor6941_room_temperature,home143_bedroom1329_sensor6942_room_light,home143_bedroom1329_sensor6943_room_humidity,home143_bedroom1329_sensor6944_room_temperature,home143_bedroom1330_sensor6947_room_light,home143_bedroom1330_sensor6948_room_humidity,home143_bedroom1330_sensor6949_room_temperature,home143_hall1327_sensor6934_room_light,home143_hall1327_sensor6935_room_humidity,home143_hall1327_sensor6936_room_temperature,home143_hall1327_sensor6962_gas-pulse_gas,home143_hall1327_sensor6971c6975_electric-mains_electric-combined,home143_kitchen1331_sensor6952_room_light,home143_kitchen1331_sensor6955_room_humidity,home143_kitchen1331_sensor6956_room_temperature,home143_kitchen1331_sensor6980_tempprobe_hot-water-cold-pipe,home143_kitchen1331_sensor6981_tempprobe_hot-water-hot-pipe,home143_kitchen1331_sensor6986_tempprobe_central-heating-flow,home143_kitchen1331_sensor6987_tempprobe_central-heating-return,home143_livingroom1332_sensor6957_room_light,home143_livingroom1332_sensor6958_room_humidity,home143_livingroom1332_sensor6959_room_temperature
2017-07-06 09:00:00,139.0,736.0,212.0,100,695,216,19,690,216,34.0,710.0,215.0,448.0,398.0,16.0,686,221,166.0,442.0,300.0,253.0,96,670,223
2017-07-06 10:00:00,187.0,668.0,223.0,33,647,224,22,633,221,14.0,649.0,228.0,224.0,598.0,8.0,637,231,187.0,323.0,283.0,244.0,49,641,228
2017-07-06 11:00:00,307.0,712.0,214.0,55,643,225,35,620,220,19.0,634.0,228.0,112.0,377.0,15.0,616,232,199.0,320.0,259.0,234.0,78,638,229
2017-07-06 12:00:00,,,,45,631,224,16,656,221,15.0,641.0,227.0,,386.0,12.0,607,231,217.0,272.0,247.0,229.0,65,643,230
2017-07-06 13:00:00,,685.0,218.0,69,648,223,18,657,222,23.0,643.0,229.0,335.0,640.0,13.0,627,234,181.0,337.0,249.0,228.0,103,633,230
2017-07-06 14:00:00,,,,26,634,222,10,631,221,11.0,610.0,227.0,,412.0,7.0,587,233,217.0,258.0,245.0,225.0,45,613,228
2017-07-06 15:00:00,,,,34,634,220,18,635,220,15.0,615.0,224.0,,351.0,11.0,596,228,220.0,229.0,230.0,223.0,50,614,226
2017-07-06 16:00:00,,,,47,644,220,20,646,220,16.0,630.0,226.0,336.0,905.0,17.0,614,231,180.0,322.0,240.0,223.0,64,625,227
2017-07-06 17:00:00,,,,31,644,222,23,636,223,19.0,597.0,233.0,223.0,371.0,21.0,578,241,191.0,317.0,252.0,229.0,49,619,228
2017-07-06 18:00:00,,,,31,635,229,16,635,225,2.0,605.0,232.0,5471.0,402.0,13.0,587,240,242.0,309.0,395.0,335.0,12,599,233
2017-07-06 19:00:00,,603.0,264.0,13,546,266,12,593,247,1.0,583.0,253.0,1677.0,404.0,0.0,606,248,303.0,331.0,489.0,492.0,5,528,267
2017-07-06 20:00:00,,,,1,569,255,0,609,239,0.0,592.0,246.0,,366.0,0.0,596,248,282.0,291.0,348.0,350.0,0,580,244
2017-07-06 21:00:00,,,,0,597,244,0,619,233,0.0,607.0,236.0,,266.0,0.0,589,247,260.0,264.0,283.0,286.0,0,600,234
2017-07-06 22:00:00,,,,0,627,237,0,627,230,0.0,611.0,232.0,,179.0,0.0,582,245,240.0,270.0,257.0,257.0,0,607,231
2017-07-06 23:00:00,,,,0,653,232,0,629,228,0.0,613.0,229.0,,101.0,0.0,581,239,237.0,249.0,246.0,245.0,0,609,228
2017-07-07 00:00:00,,,,0,653,228,0,639,226,0.0,610.0,227.0,,111.0,0.0,586,233,232.0,235.0,237.0,237.0,0,608,227
2017-07-07 01:00:00,,,,0,660,226,0,641,225,0.0,609.0,225.0,,127.0,0.0,589,233,230.0,230.0,233.0,232.0,0,607,225
2017-07-07 02:00:00,,,,0,674,224,0,639,224,0.0,609.0,223.0,,114.0,0.0,587,233,229.0,229.0,230.0,229.0,0,606,224
2017-07-07 03:00:00,,,,0,689,222,0,641,222,0.0,609.0,222.0,,100.0,0.0,589,229,225.0,226.0,228.0,227.0,0,606,222
2017-07-07 04:00:00,,,,4,689,221,0,646,221,0.0,614.0,221.0,,108.0,0.0,595,225,209.0,248.0,230.0,223.0,1,608,221
2017-07-07 05:00:00,,,,8,690,220,0,650,220,0.0,608.0,220.0,,124.0,0.0,596,226,220.0,235.0,230.0,223.0,3,606,220
2017-07-07 06:00:00,,,,18,668,222,0,657,222,1.0,628.0,221.0,5593.0,1455.0,0.0,595,228,213.0,356.0,393.0,336.0,16,592,226
2017-07-07 07:00:00,86.0,712.0,257.0,22,584,260,1,632,239,7.0,630.0,246.0,1901.0,140.0,1.0,657,236,226.0,407.0,608.0,584.0,41,542,261
2017-07-07 08:00:00,,,,17,597,251,3,654,234,6.0,634.0,238.0,,871.0,3.0,636,240,212.0,378.0,375.0,366.0,32,605,242
2017-07-07 09:00:00,,,,49,611,239,8,644,230,22.0,623.0,235.0,,1389.0,16.0,608,240,254.0,327.0,307.0,289.0,84,623,234
2017-07-07 10:00:00,,,,30,605,231,6,611,226,13.0,595.0,229.0,,324.0,14.0,572,233,257.0,274.0,300.0,283.0,53,596,230
2017-07-07 11:00:00,,,,24,605,226,3,606,223,10.0,598.0,225.0,,303.0,8.0,598,221,236.0,242.0,,,44,595,226
2017-07-07 12:00:00,,,,57,602,223,8,603,220,,,,,308.0,20.0,608,214,225.0,228.0,235.0,233.0,97,591,223
2017-07-07 13:00:00,,,,53,586,221,8,592,218,23.0,584.0,219.0,,352.0,22.0,611,209,216.0,220.0,220.0,220.0,89,581,221
2017-07-07 14:00:00,215.0,651.0,200.0,39,586,220,5,601,218,15.0,597.0,220.0,112.0,541.0,16.0,617,216,199.0,247.0,223.0,219.0,67,587,222
2017-07-07 15:00:00,,,,35,577,220,6,600,218,16.0,588.0,221.0,,544.0,17.0,593,222,210.0,235.0,225.0,219.0,62,580,223
2017-07-07 16:00:00,,,,34,582,221,10,589,219,20.0,562.0,228.0,,1631.0,25.0,567,228,198.0,257.0,228.0,221.0,60,569,225
2017-07-07 17:00:00,,,,22,562,222,4,572,221,9.0,519.0,230.0,447.0,369.0,10.0,503,235,196.0,339.0,230.0,223.0,36,553,226
2017-07-07 18:00:00,,,,13,534,224,3,556,220,7.0,530.0,226.0,5037.0,488.0,8.0,513,228,214.0,315.0,396.0,300.0,24,523,228
2017-07-07 19:00:00,,,,3,496,259,0,566,232,0.0,517.0,249.0,1679.0,379.0,0.0,553,235,291.0,413.0,639.0,606.0,6,481,259
